AB,ALBERTA
AA,ARMED FORCES AMERICAS
AE,ARMED FORCES EUROPE
AE,MIDDLE EAST
AE,AFRICA
AE,CANADA
AK,ALASKA
AL,ALABAMA
AP,ARMED FORCES PACIFIC
AR,ARKANSAS
AS,AMERICAN SAMOA
AZ,ARIZONA
BC, BRITSH COLUMBIA
CA,CALIFORNIA
CO,COLORADO
CT,CONNECTICUT
DC,WASHINGTON DC
DE,DELAWARE
FL,FLORIDA
FM,FEDERATED STATES OF MICRONESIA
GA,GEORGIA
GU,GUAM
HI,HAWAII
IA,IOWA
ID,IDAHO
IL,ILLINOIS
IN,INDIANA
KS,KANSAS
KY,KENTUCKY
LA,LOUISIANA
MA,MASSACHUSETTS
MB,MANITOBA
MD,MARYLAND
ME,MAINE
MH,MARSHALL ISLANDS
MI,MICHIGAN
MN,MINNESOTA
MO,MISSOURI
MP,NORTHERN MARIANA ISLANDS
MS,MISSISSIPPI
MT,MONTANA
NB,NEW BRUNSWICK
NC,NORTH CAROLINA
ND,NORTH DAKOTA
NE,NEBRASKA
NH,NEW HAMPSHIRE
NJ,NEW JERSEY
NL,NEWFOUNDLAND AND LABRADOR
NM,NEW MEXICO
NT,NORTHWEST TERRITORIES
NS,NOVA SCOTIA
NV,NEVADA
NY,NEW YORK
OH,OHIO
OK,OKLAHOMA
ON,NUNAVUT
OR,OREGON
PA,PENNSYLVANIA
PE,PRINCE EDWARD ISLAND
PR,PUERTO RICO
PW,PALAU
QC,QUEBEC
RI,RHODE ISLAND
SC,SOUTH CAROLINA
SD,SOUTH DAKOTA
SK,SASKATCHEWAN
TN,TENNESSEE
TX,TEXAS
UT,UTAH
VA,VIRGINIA
VI,VIRGIN ISLANDS
VT,VERMONT
WA,WASHINGTON
WI,WISCONSIN
WV,WEST VIRGINIA
WY,WYOMING
YT,YUKON
